Was sind die Kriterien für Produkte, die in diesem Buch behandelt werden?;Produkte, die in Unternehmen eingesetzt werden, die eine kontinuierliche, unprompted Benutzerbeteiligung erfordern und daher Benutzergewohnheiten aufbauen müssen. Unternehmen, die Kunden durch andere Mittel zum Handeln zwingen, sind ausgeschlossen.
Was sagte Warren Buffett über die Stärke eines Unternehmens im Laufe der Zeit?;Warren Buffett sagte: 'Sie können im Laufe der Zeit die Stärke eines Unternehmens anhand der Menge an Schmerzen bestimmen, die es bei der Erhöhung von Preisen durchläuft.'
Warum werden Kunden weniger preissensibel, wenn sie sich an ein Produkt gewöhnen?;Kunden werden weniger preissensibel, wenn sie sich an ein Produkt gewöhnen, weil sie Routinen um das Produkt bilden und von ihm abhängig werden.
Was ist eine gängige Praxis in der Free-to-play-Videospielbranche, um Nutzer zum Bezahlen zu bewegen?;Es ist eine gängige Praxis für Spieleentwickler, das Bezahlen von Nutzern zu verzögern, bis diese konsequent und gewohnheitsmäßig spielen. Sobald die Zwanghaftigkeit zu spielen vorhanden ist und der Wunsch, im Spiel voranzukommen, steigt, ist es viel einfacher, Nutzer in zahlende Kunden umzuwandeln. Das eigentliche Geld liegt im Verkauf von virtuellen Gegenständen, zusätzlichen Leben und besonderen Kräften.
Was ist der Viral Cycle Time?;Der Viral Cycle Time ist die Zeit, die ein Benutzer benötigt, um einen anderen Benutzer einzuladen, und kann einen massiven Einfluss haben. Wenn der Zykluszeit 2 Tage beträgt, haben Sie nach 20 Tagen 20.470 Benutzer. Wenn Sie jedoch die Zykluszeit auf einen Tag halbieren, haben Sie über 20 Millionen Benutzer.
Was besagt ein klassischer Artikel von John Gourville, einem Marketingprofessor an der Harvard Business School?;Viele Innovationen scheitern, weil Verbraucher irrational den alten Wert überschätzen, während Unternehmen irrational den neuen Wert überschätzen.
Was behauptet Gourville über neue Marktteilnehmer?;Gourville behauptet, dass neue Marktteilnehmer nicht nur besser sein müssen als etablierte Unternehmen, sondern neunmal besser, um eine Chance zu haben.
Was schreibt Gourville über Produkte, die einen hohen Grad an Verhaltensänderung erfordern?;Produkte, die einen hohen Grad an Verhaltensänderung erfordern, sind zum Scheitern verurteilt, selbst wenn die Vorteile der Verwendung des neuen Produkts klar und erheblich sind.
Wie erhöhen Nutzer ihre Abhängigkeit von gewohnheitsbildenden Produkten?;Nutzer erhöhen ihre Abhängigkeit von gewohnheitsbildenden Produkten, indem sie Wert in ihnen speichern und so die Wahrscheinlichkeit verringern, zu einer Alternative zu wechseln.
Was sind die Regeln und Einschränkungen des Habit-Designs?;Das Habit-Design hat Regeln und Einschränkungen, die erklären, warum einige Produkte Leben verändern, während andere dies nicht tun.
